,Brand,Product Name,Normal Price,Discount,Discount Price,Seller,Waranty status,Waranty Period (Months),Accessories Included
165,APPLE,Iphone 12 64Gb Lila Reacondicionado,$ 2.499.000,-44%,$ 1.399.059, idroid colombia,not available,0,no
171,APPLE, Reacondicionado Iphone 12 Pro Max 256 Gb Plateado Silver,$ 3.099.900,-22%,$ 2.389.988, ventas hatior colombia,not available,0,no
191,APPLE,Iphone 12 Pro Grafito 256Gb Reacondicionado + REGALO Audifonos & Cargador,$ 3.270.900,-30%,$ 2.289.564, ventas hatior colombia,not available,0,yes
201,APPLE,IPHONE 13 PRO MAX 128 GB REACONDICIONADO COLOR GRAFITO,$ 4.499.000,-38%,$ 2.749.899, idroid colombia,not available,0,no
202,APPLE,iPhone 13 Pro Azul 256Gb Reacondicionado + REGALO Audifonos & Cargador,$ 4.599.900,-35%,$ 2.989.900, micelu,not available,0,yes
203,APPLE,IPHONE 14 PRO MAX 128 GB REACONDICIONADO COLOR MORADO,$ 4.499.900,-16%,$ 3.759.898, ventas hatior colombia,not available,0,no
210,APPLE, Reacondicionado Iphone 11 128Gb Blanco Apple,$ 3.499.900,-62%,$ 1.327.988, ecocell,not available,0,no
214,APPLE, Reacondicionado Iphone Se 2020 64Gb Negro Apple + 14 Meses Garantia,$ 1.249.900,-52%,$ 599.900, quiero mac,available,14,no
219,APPLE, Reacondicionado Iphone Xr 64Gb Blanco Apple,$ 2.699.900,-66%,$ 897.028, ecocell,not available,0,no
220,APPLE,Iphone 12 128Gb Lila Reacondicionado,$ 3.000.000,-46%,$ 1.599.800, micelu,not available,0,no
221,APPLE,IPHONE 12 PRO 128 GB REACONDICIONADO COLOR AZUL PACIFICO,$ 3.299.000,-41%,$ 1.938.326, idroid colombia,not available,0,no
222,APPLE, Reacondicionado Iphone 11 Pro 64Gb Verde Medianoche Midnight Green,$ 3.159.900,-50%,$ 1.567.100, micelu,not available,0,no
223,APPLE,IPHONE 13 PRO 128 GB REACONDICIONADO COLOR GRAFITO,$ 2.890.000,-11%,$ 2.548.000, tecnologia online,not available,0,no
227,APPLE,Iphone 13 128Gb Rosa Reacondicionado,$ 2.499.900,-16%,$ 2.099.800, ventas hatior colombia,not available,0,no
228,APPLE,IPHONE 13 PRO MAX 128 GB REACONDICIONADO COLOR AZUL SIERRA,$ 3.978.900,-25%,$ 2.949.890, mundomovil 2020,not available,0,no
229,APPLE,Iphone 11 Pro 64 Gb Verde Esmeralda Reacondicionado,$ 2.500.000,-37%,$ 1.567.098, idroid colombia,not available,0,no
235,APPLE,iPhone 14 Pro Max 256Gb Blanco Reacondicionado Audífonos + Cargador,$ 5.300.000,-19%,$ 4.269.900, micelu,not available,0,yes
